2013,4,214
��조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20130101,서울서부,쇠고기,512,100G,1100,0
20130101,서울서부,쇠고기,512,100G,1700,0
20130101,서울서부,생강,247,1KG,6000,0
20130101,서울서부,생강,247,1KG,5500,0
20130101,서울서부,미나리,252,1KG,4000,0
20130101,서울서부,미나리,252,1KG,3500,0
20130101,서울서부,깻잎,253,200G,4500,0
20130101,서울서부,깻잎,253,200G,4000,0
20130101,서울서부,피망(청),255,100G,700,0
20130101,서울서부,피망(청),255,100G,600,0
20130101,서울서부,참깨,312,500G,14000,0
20130101,서울서부,건고추,241,600G,17000,0
20130101,서울서부,풋고추,242,100G,1200,0
20130101,서울서부,풋고추,242,100G,1000,0
20130101,서울서부,풋고추,242,100G,1200,0
20130101,서울서부,풋고추,242,100G,1000,0
20130101,서울서부,풋고추,242,100G,1000,0
20130101,서울서부,풋고추,242,100G,900,0
20130101,서울서부,붉은고추,243,100G,1200,0
20130101,서울서부,붉은고추,243,100G,1000,0
20130101,서울서부,쌀,111,20KG,46000,0
20130101,서울서부,찹쌀,112,1KG,4000,0
20130101,서울서부,콩,141,1KG,8000,0
20130101,서울서부,콩,141,1KG,7500,0
20130101,서울서부,팥(적두),142,1KG,13000,0
20130101,서울서부,팥(적두),142,1KG,12000,0
20130101,서울서부,녹두,143,1KG,17000,0
20130101,서울서부,녹두,143,1KG,15000,0
20130101,서울서부,고구마,151,1KG,5000,0
20130101,서울서부,고구마,151,1KG,4500,0
20130101,서울서부,감자,152,1KG,2500,0
20130101,서울서부,감자,152,1KG,2000,0
20130101,서울서부,배추,211,1,4500,0
20130101,서울서부,배추,211,1,4000,0
20130101,서울서부,양배추,212,1,5000,0
20130101,서울서부,양배추,212,1,4500,0
20130101,서울서부,시금치,213,1KG,4500,0
20130101,서울서부,시금치,213,1KG,4000,0
20130101,서울서부,상추,214,100G,1000,0
20130101,서울서부,상추,214,100G,900,0
20130101,서울서부,상추,214,100G,700,0
20130101,서울서부,상추,214,100G,600,0
20130101,서울서부,수박,221,1,18000,0
20130101,서울서부,수박,221,1,15000,0
20130101,서울서부,오이,223,10,7000,0
20130101,서울서부,오이,223,10,6000,0
20130101,서울서부,오이,223,10,8000,0
20130101,서울서부,오이,223,10,7000,0
20130101,서울서부,호박,224,1,1700,0
20130101,서울서부,호박,224,1,1500,0
20130101,서울서부,호박,224,1,1700,0
20130101,서울서부,호박,224,1,1500,0
20130101,서울서부,토마토,225,1KG,5000,0
20130101,서울서부,토마토,225,1KG,4500,0
20130101,서울서부,무,231,1,2000,0
20130101,서울서부,무,231,1,1500,0
20130101,서울서부,당근,232,1KG,5000,0
20130101,서울서부,당근,232,1KG,4500,0
20130101,서울서부,건고추,241,600G,12000,0
20130101,서울서부,건고추,241,600G,11000,0
20130101,서울서부,건고추,241,600G,18000,0
20130101,서울서부,마늘,244,1KG,7000,0
20130101,서울서부,마늘,244,1KG,6000,0
20130101,서울서부,양파,245,1KG,1600,0
20130101,서울서부,양파,245,1KG,1500,0
20130101,서울서부,파,246,1KG,2800,0
20130101,서울서부,파,246,1KG,2500,0
20130101,서울서부,파,246,1KG,6000,0
20130101,서울서부,파,246,1KG,5000,0
20130101,서울서부,참깨,312,500G,12000,0
20130101,서울서부,참깨,312,500G,3500,0
20130101,서울서부,땅콩,314,100G,1500,0
20130101,서울서부,땅콩,314,100G,600,0
20130101,서울서부,느타리버섯,315,100G,900,0
20130101,서울서부,느타리버섯,315,100G,700,0
20130101,서울서부,팽이버섯,316,100G,300,0
20130101,서울서부,물오징어,619,1,2000,0
20130101,서울서부,건멸치,638,100G,1700,0
20130101,서울서부,쇠고기,512,100G,3400,0
20130101,서울서부,쇠고기,512,100G,2400,0
20130101,서울서부,쇠고기,512,100G,5000,0
20130101,서울서부,쇠고기,512,100G,3500,0
20130101,서울서부,쇠고기,512,100G,3300,0
20130101,서울서부,쇠고기,512,100G,2400,0
20130101,서울서부,쇠고기,512,100G,1500,0
20130101,서울서부,바나나,418,100G,140,0
20130101,서울서부,바나나,418,100G,130,0
20130101,서울서부,방울토마토,422,1KG,8000,0
20130101,서울서부,방울토마토,422,1KG,7000,0
20130101,서울서부,우유,535,1L,2400,0
20130101,서울서부,고등어,611,1,2500,0
20130101,서울서부,고등어,611,1,1700,0
20130101,서울서부,명태,615,1,1500,0
20130101,서울서부,물오징어,619,1,2500,0
20130101,서울서부,팽이버섯,316,100G,270,0
20130101,서울서부,사과,411,10,20000,0
20130101,서울서부,사과,411,10,15000,0
20130101,서울서부,배,412,10,30000,0
20130101,서울서부,배,412,10,25000,0
20130101,서울서부,감귤,415,10,2000,0
20130101,서울서부,감귤,415,10,1900,0
20130101,서울서부,단감,416,10,10000,0
20130101,서울서부,단감,416,10,8000,0
20130101,서울서부,쇠고기,512,100G,1300,0
20130101,서울서부,쇠고기,512,100G,1300,0
20130101,서울서부,열무,233,1.5KG,3500,0
20130101,서울서부,얼갈이배추,215,1.5KG,2000,0
20130101,서울서부,얼갈이배추,215,1.5KG,2500,0
20130101,서울,열무,233,1.5KG,5250,0
20130101,서울,쇠고기,512,100G,7900,0
20130101,서울,우유,535,1L,2300,0
20130101,서울,팥(적두),142,1KG,29600,0
20130101,서울,고구마,151,1KG,4710,0
20130101,서울,감자,152,1KG,5700,0
20130101,서울,배추,211,1,3500,0
20130101,서울,양배추,212,1,4900,0
20130101,서울,상추,214,100G,1130,0
20130101,서울,상추,214,100G,1130,0
20130101,서울,오이,223,10,13000,0
20130101,서울,오이,223,10,15000,0
20130101,서울,쌀,111,20KG,46800,0
20130101,서울,찹쌀,112,1KG,6900,0
20130101,서울,콩,141,1KG,10600,0
20130101,서울,호박,224,1,2500,0
20130101,서울,호박,224,1,2400,0
20130101,서울,토마토,225,1KG,6580,0
20130101,서울,당근,232,1KG,5300,0
20130101,서울,풋고추,242,100G,1920,0
20130101,서울,풋고추,242,100G,1860,0
20130101,서울,풋고추,242,100G,1900,0
20130101,서울,팽이버섯,316,100G,350,0
20130101,서울,사과,411,10,19750,0
20130101,서울,배,412,10,45000,0
20130101,서울,배,412,10,33750,0
20130101,서울,포도,414,1KG,10400,0
20130101,서울,감귤,415,10,2530,0
20130101,서울,단감,416,10,12000,0
20130101,서울,바나나,418,100G,166,0
20130101,서울,방울토마토,422,1KG,10500,0
20130101,서울,붉은고추,243,100G,1800,0
20130101,서울,마늘,244,1KG,6800,0
20130101,서울,양파,245,1KG,2860,0
20130101,서울,파,246,1KG,4160,0
20130101,서울,생강,247,1KG,13200,0
20130101,서울,미나리,252,1KG,12500,0
20130101,서울,깻잎,253,200G,5800,0
20130101,서울,피망(청),255,100G,1270,0
20130101,서울,땅콩,314,100G,2500,0
20130101,서울,건멸치,638,100G,2700,0
20130101,서울,쇠고기,512,100G,3500,0
20130101,서울,얼갈이배추,215,1.5KG,3750,0
20130101,서울,쇠고기,512,100G,2200,0
20130101,서울,쇠고기,512,100G,2200,0
20130101,서울,열무,233,1.5KG,5750,0
20130101,서울,쇠고기,512,100G,7480,0
20130101,서울,물오징어,619,1,2480,0
20130101,서울,파,246,1KG,7440,0
20130101,서울,생강,247,1KG,10800,0
20130101,서울,미나리,252,1KG,7000,0
20130101,서울,깻잎,253,200G,4500,0
20130101,서울,피망(청),255,100G,800,0
20130101,서울,땅콩,314,100G,2800,0
20130101,서울,느타리버섯,315,100G,990,0
20130101,서울,팽이버섯,316,100G,340,0
20130101,서울,사과,411,10,10000,0
20130101,서울,토마토,225,1KG,7480,0
20130101,서울,당근,232,1KG,4000,0
20130101,서울,풋고추,242,100G,1320,0
20130101,서울,풋고추,242,100G,1520,0
20130101,서울,풋고추,242,100G,1260,0
20130101,서울,붉은고추,243,100G,1040,0
20130101,서울,마늘,244,1KG,6760,0
20130101,서울,양파,245,1KG,1950,0
20130101,서울,파,246,1KG,4200,0
20130101,서울,쌀,111,20KG,45800,0
20130101,서울,찹쌀,112,1KG,4590,0
20130101,서울,콩,141,1KG,9080,0
20130101,서울,팥(적두),142,1KG,27600,0
20130101,서울,고구마,151,1KG,4500,0
20130101,서울,배추,211,1,2780,0
20130101,서울,양배추,212,1,3500,0
20130101,서울,시금치,213,1KG,8000,0
20130101,서울,상추,214,100G,850,0
20130101,서울,상추,214,100G,859,0
20130101,서울,수박,221,1,19800,0
20130101,서울,오이,223,10,7900,0
20130101,서울,오이,223,10,12770,0
20130101,서울,호박,224,1,1800,0
20130101,서울,호박,224,1,1800,0
20130101,서울,배,412,10,39330,0
20130101,서울,감귤,415,10,2000,0
20130101,서울,단감,416,10,9000,0
20130101,서울,바나나,418,100G,280,0
20130101,서울,방울토마토,422,1KG,9800,0
20130101,서울,우유,535,1L,2300,0
20130101,서울,고등어,611,1,3980,0
20130101,서울,물오징어,619,1,3280,0
20130101,서울,건멸치,638,100G,3000,0
20130101,서울,쇠고기,512,100G,3980,0
20130101,서울,얼갈이배추,215,1.5KG,3380,0
20130101,서울,쇠고기,512,100G,1580,0
20130101,서울,쇠고기,512,100G,1580,0
20130101,서울,얼갈이배추,215,1.5KG,3710,0
20130101,서울,건멸치,638,100G,2160,0
20130101,서울,물오징어,619,1,2980,0
20130101,서울,땅콩,314,100G,2640,0
20130101,서울,팽이버섯,316,100G,392,0
20130101,서울,사과,411,10,17600,0
20130101,서울,배,412,10,32000,0
20130101,서울,감귤,415,10,2980,0
20130101,서울,단감,416,10,9000,0
20130101,서울,바나나,418,100G,200,0
20130101,서울,방울토마토,422,1KG,11970,0
20130101,서울,우유,535,1L,2300,0
20130101,서울,풋고추,242,100G,1320,0
20130101,서울,붉은고추,243,100G,1450,0
20130101,서울,마늘,244,1KG,6800,0
20130101,서울,양파,245,1KG,2370,0
20130101,서울,파,246,1KG,3400,0
20130101,서울,파,246,1KG,11600,0
20130101,서울,생강,247,1KG,8730,0
20130101,서울,깻잎,253,200G,6650,0
20130101,서울,피망(청),255,100G,1290,0
20130101,서울,쌀,111,20KG,45800,0
20130101,서울,찹쌀,112,1KG,5800,0
20130101,서울,콩,141,1KG,13200,0
20130101,서울,팥(적두),142,1KG,27800,0
20130101,서울,고구마,151,1KG,4000,0
20130101,서울,배추,211,1,2780,0
20130101,서울,상추,214,100G,1100,0
20130101,서울,상추,214,100G,870,0
20130101,서울,오이,223,10,9900,0
20130101,서울,오이,223,10,11990,0
20130101,서울,호박,224,1,1980,0
20130101,서울,토마토,225,1KG,6650,0
20130101,서울,당근,232,1KG,5800,0
20130101,서울,풋고추,242,100G,1320,0
20130101,서울,풋고추,242,100G,1650,0
20130101,서울,물오징어,619,1,2180,0
20130101,서울,쇠고기,512,100G,6800,0
20130101,서울,쇠고기,512,100G,1450,0
20130101,서울,쇠고기,512,100G,1980,0
20130101,서울,쇠고기,512,100G,3500,0
20130101,서울,열무,233,1.5KG,7720,0
20130101,서울,건멸치,638,100G,1690,0
20130101,서울,우유,535,1L,2300,0
20130101,서울,오이,223,10,11200,0
20130101,서울,호박,224,1,1980,0
20130101,서울,토마토,225,1KG,4230,0
20130101,서울,당근,232,1KG,6500,0
20130101,서울,풋고추,242,100G,1650,0
20130101,서울,풋고추,242,100G,1960,0
20130101,서울,풋고추,242,100G,1960,0
20130101,서울,붉은고추,243,100G,1650,0
20130101,서울,마늘,244,1KG,6800,0
20130101,서울,양파,245,1KG,1770,0
20130101,서울,파,246,1KG,2770,0
20130101,서울,파,246,1KG,11960,0
20130101,서울,생강,247,1KG,6800,0
20130101,서울,미나리,252,1KG,5660,0
20130101,서울,깻잎,253,200G,4750,0
20130101,서울,피망(청),255,100G,2050,0
20130101,서울,땅콩,314,100G,2180,0
20130101,서울,느타리버섯,315,100G,1250,0
20130101,서울,팽이버섯,316,100G,400,0
20130101,서울,사과,411,10,18240,0
20130101,서울,배,412,10,35000,0
20130101,서울,배,412,10,21000,0
20130101,서울,감귤,415,10,1870,0
20130101,서울,단감,416,10,7000,0
20130101,서울,방울토마토,422,1KG,9450,0
20130101,서울,콩,141,1KG,8950,0
20130101,서울,팥(적두),142,1KG,17500,0
20130101,서울,고구마,151,1KG,5250,0
20130101,서울,감자,152,1KG,2980,0
20130101,서울,배추,211,1,3320,0
20130101,서울,양배추,212,1,4950,0
20130101,서울,상추,214,100G,790,0
20130101,서울,상추,214,100G,790,0
20130101,서울,오이,223,10,7930,0
20130101,서울,쌀,111,20KG,45800,0
20130101,서울,찹쌀,112,1KG,4590,0
20130101,서울,물오징어,619,1,2190,0
20130101,서울,쇠고기,512,100G,5980,0
20130101,서울,얼갈이배추,215,1.5KG,2770,0
20130101,서울,쇠고기,512,100G,2680,0
20130101,서울,쇠고기,512,100G,3980,0
20130101,서울,열무,233,1.5KG,5980,0
20130101,서울,쌀,111,20KG,45900,0
20130101,서울,찹쌀,112,1KG,7900,0
20130101,서울,콩,141,1KG,13750,0
20130101,서울,팥(적두),142,1KG,24750,0
20130101,서울,고구마,151,1KG,4990,0
20130101,서울,감자,152,1KG,4290,0
20130101,서울,배추,211,1,3490,0
20130101,서울,시금치,213,1KG,8760,0
20130101,서울,오이,223,10,7950,0
20130101,서울,오이,223,10,6630,0
20130101,서울,오이,223,10,11950,0
20130101,서울,호박,224,1,1990,0
20130101,서울,토마토,225,1KG,7590,0
20130101,서울,풋고추,242,100G,1530,0
20130101,서울,풋고추,242,100G,1860,0
20130101,서울,풋고추,242,100G,1650,0
20130101,서울,붉은고추,243,100G,1850,0
20130101,서울,양파,245,1KG,2860,0
20130101,서울,파,246,1KG,3820,0
20130101,서울,생강,247,1KG,9900,0
20130101,서울,깻잎,253,200G,5180,0
20130101,서울,피망(청),255,100G,1170,0
20130101,서울,땅콩,314,100G,880,0
20130101,서울,팽이버섯,316,100G,350,0
20130101,서울,포도,414,1KG,8730,0
20130101,서울,감귤,415,10,2630,0
20130101,서울,바나나,418,100G,180,0
20130101,서울,방울토마토,422,1KG,12580,0
20130101,서울,우유,535,1L,2350,0
20130101,서울,물오징어,619,1,2490,0
20130101,서울,물오징어,619,1,1990,0
20130101,서울,얼갈이배추,215,1.5KG,5180,0
20130101,서울,쇠고기,512,100G,990,0
20130101,서울,쇠고기,512,100G,1790,0
20130101,서울,건멸치,638,100G,3830,0
20130101,서울,쇠고기,512,100G,3100,0
20130102,서울서부,열무,233,1.5KG,2500,2500
20130102,서울서부,얼갈이배추,215,1.5KG,3000,3000
20130102,서울서부,쇠고기,512,100G,1100,1100
20130102,서울서부,쇠고기,512,100G,1330,1330
20130102,서울서부,쇠고기,512,100G,2300,2300
20130102,서울서부,쇠고기,512,100G,1830,1830
20130102,서울서부,쇠고기,512,100G,4000,4000
20130102,서울서부,쇠고기,512,100G,3900,3900
20130102,서울서부,돼지고기,514,100G,1440,1440
20130102,서울서부,닭고기,515,1KG,3500,3800
20130102,서울서부,계란,516,10,1460,1460
20130102,서울서부,우유,535,1L,2400,2400
20130102,서울서부,고등어,611,1,2000,2000
20130102,서울서부,명태,615,1,2000,2000
20130102,서울서부,물오징어,619,1,2500,2500
20130102,서울서부,물오징어,619,1,2000,2000
20130102,서울서부,건멸치,638,100G,1500,1500
20130102,서울서부,땅콩,314,100G,560,560
20130102,서울서부,느타리버섯,315,100G,800,800
20130102,서울서부,느타리버섯,315,100G,700,700
20130102,서울서부,팽이버섯,316,100G,330,330
20130102,서울서부,팽이버섯,316,100G,230,230
20130102,서울서부,사과,411,10,30000,30000
20130102,서울서부,사과,411,10,25000,25000
20130102,서울서부,배,412,10,40000,40000
20130102,서울서부,배,412,10,30000,30000
20130102,서울서부,양파,245,1KG,1500,1500
20130102,서울서부,파,246,1KG,2500,2500
20130102,서울서부,파,246,1KG,2000,2000
20130102,서울서부,파,246,1KG,6600,6000
20130102,서울서부,파,246,1KG,6000,5000
20130102,서울서부,생강,247,1KG,6000,6000
20130102,서울서부,생강,247,1KG,5500,5500
20130102,서울서부,미나리,252,1KG,5000,4000
20130102,서울서부,미나리,252,1KG,4000,3500
20130102,서울서부,당근,232,1KG,4000,4000
20130102,서울서부,당근,232,1KG,3500,3500
20130102,서울서부,건고추,241,600G,14000,14000
20130102,서울서부,건고추,241,600G,13000,13000
20130102,서울서부,건고추,241,600G,18000,18000
20130102,서울서부,건고추,241,600G,16000,16000
20130102,서울서부,풋고추,242,100G,1000,1000
20130102,서울서부,풋고추,242,100G,870,870
20130102,서울서부,풋고추,242,100G,1000,1000
20130102,서울서부,상추,214,100G,750,580
20130102,서울서부,상추,214,100G,1000,830
20130102,서울서부,상추,214,100G,750,580
20130102,서울서부,수박,221,1,18000,18000
20130102,서울서부,수박,221,1,15000,15000
20130102,서울서부,오이,223,10,6600,6600
20130102,서울서부,오이,223,10,6000,6000
20130102,서울서부,오이,223,10,8000,8000
20130102,서울서부,오이,223,10,6000,6000
20130102,서울서부,쌀,111,20KG,45000,45000
20130102,서울서부,찹쌀,112,1KG,3060,3060
20130102,서울서부,콩,141,1KG,7000,7000
20130102,서울서부,콩,141,1KG,6160,6160
20130102,서울서부,팥(적두),142,1KG,13100,13100
20130102,서울서부,팥(적두),142,1KG,11600,11600
20130102,서울서부,녹두,143,1KG,16000,16000
20130102,서울서부,녹두,143,1KG,15000,15000
20130102,서울서부,고구마,151,1KG,4000,4000
20130102,서울서부,고구마,151,1KG,3000,3000
20130102,서울서부,감자,152,1KG,2500,2500
20130102,서울서부,감자,152,1KG,2000,2000
20130102,서울서부,배추,211,1,4000,0
20130102,서울서부,배추,211,1,3500,0
20130102,서울서부,배추,211,1,5000,0
20130102,서울서부,배추,211,1,4500,0
20130102,서울서부,양배추,212,1,5000,4500
20130102,서울서부,양배추,212,1,4000,4000
20130102,서울서부,시금치,213,1KG,6000,6000
20130102,서울서부,시금치,213,1KG,5000,5000
20130102,서울서부,상추,214,100G,1000,830
20130102,서울서부,호박,224,1,1800,1800
20130102,서울서부,호박,224,1,1500,1500
20130102,서울서부,호박,224,1,1700,1700
20130102,서울서부,호박,224,1,1500,1500
20130102,서울서부,토마토,225,1KG,6000,6000
20130102,서울서부,토마토,225,1KG,5000,5000
20130102,서울서부,무,231,1,2000,2000
20130102,서울서부,무,231,1,1500,1500
20130102,서울서부,풋고추,242,100G,750,750
20130102,서울서부,풋고추,242,100G,1250,1000
20130102,서울서부,풋고추,242,100G,1000,750
20130102,서울서부,붉은고추,243,100G,1000,1000
20130102,서울서부,붉은고추,243,100G,750,750
20130102,서울서부,마늘,244,1KG,7000,7000
20130102,서울서부,마늘,244,1KG,6000,6000
20130102,서울서부,양파,245,1KG,1800,1800
20130102,서울서부,깻잎,253,200G,5000,4000
20130102,서울서부,깻잎,253,200G,4000,3000
20130102,서울서부,피망(청),255,100G,800,800
20130102,서울서부,피망(청),255,100G,700,700
20130102,서울서부,참깨,312,500G,11300,11300
20130102,서울서부,참깨,312,500G,10300,10300
20130102,서울서부,참깨,312,500G,3210,3210
20130102,서울서부,땅콩,314,100G,1460,1460
20130102,서울서부,감귤,415,10,2500,2500
20130102,서울서부,감귤,415,10,2000,2000
20130102,서울서부,단감,416,10,10000,10000
20130102,서울서부,단감,416,10,8000,8000
20130102,서울서부,바나나,418,100G,180,180
20130102,서울서부,바나나,418,100G,150,150
20130102,서울서부,방울토마토,422,1KG,7000,7000
20130102,서울서부,방울토마토,422,1KG,6000,6000
20130102,서울서부,쇠고기,512,100G,5660,5660
20130102,서울서부,쇠고기,512,100G,2330,2330
20130102,서울서부,쇠고기,512,100G,1630,1630
20130102,서울서부,쇠고기,512,100G,1500,1500
20130102,서울서부,쇠고기,512,100G,1240,1240
20130102,서울서부,열무,233,1.5KG,3000,3000
20130102,서울서부,얼갈이배추,215,1.5KG,2500,2500
20130102,서울서부,열무,233,1.5KG,3000,3000
20130102,서울서부,미나리,252,1KG,3500,3500
20130102,서울서부,깻잎,253,200G,4500,4500
20130102,서울서부,깻잎,253,200G,4000,4000
20130102,서울서부,피망(청),255,100G,1000,700
20130102,서울서부,피망(청),255,100G,900,600
20130102,서울서부,참깨,312,500G,14000,14000
20130102,서울서부,참깨,312,500G,12000,12000
20130102,서울서부,참깨,312,500G,3500,3500
20130102,서울서부,땅콩,314,100G,1500,1500
20130102,서울서부,쌀,111,20KG,46000,46000
20130102,서울서부,찹쌀,112,1KG,4000,4000
20130102,서울서부,콩,141,1KG,8000,8000
20130102,서울서부,콩,141,1KG,7500,7500
20130102,서울서부,팥(적두),142,1KG,13000,13000
20130102,서울서부,팥(적두),142,1KG,12000,12000
20130102,서울서부,녹두,143,1KG,17000,17000
20130102,서울서부,녹두,143,1KG,15000,15000
20130102,서울서부,고구마,151,1KG,5000,5000
20130102,서울서부,고구마,151,1KG,4500,4500
20130102,서울서부,감자,152,1KG,2500,2500
20130102,서울서부,감자,152,1KG,2000,2000
20130102,서울서부,배추,211,1,4500,4500
20130102,서울서부,배추,211,1,4000,4000
20130102,서울서부,배추,211,1,4500,0
20130102,서울서부,배추,211,1,4000,0
20130102,서울서부,양배추,212,1,5000,5000
20130102,서울서부,양배추,212,1,4500,4500
20130102,서울서부,시금치,213,1KG,5000,4500
20130102,서울서부,시금치,213,1KG,4500,4000
20130102,서울서부,상추,214,100G,1000,1000
20130102,서울서부,상추,214,100G,900,900
20130102,서울서부,상추,214,100G,800,700
20130102,서울서부,상추,214,100G,700,600
20130102,서울서부,수박,221,1,18000,18000
20130102,서울서부,수박,221,1,15000,15000
20130102,서울서부,오이,223,10,7000,7000
20130102,서울서부,오이,223,10,6000,6000
20130102,서울서부,오이,223,10,10000,8000
20130102,서울서부,오이,223,10,9000,7000
20130102,서울서부,호박,224,1,1700,1700
20130102,서울서부,호박,224,1,1500,1500
20130102,서울서부,호박,224,1,1700,1700
20130102,서울서부,호박,224,1,1500,1500
20130102,서울서부,토마토,225,1KG,5000,5000
20130102,서울서부,토마토,225,1KG,4500,4500
20130102,서울서부,무,231,1,2000,2000
20130102,서울서부,무,231,1,1500,1500
20130102,서울서부,당근,232,1KG,5500,5000
20130102,서울서부,당근,232,1KG,5000,4500
20130102,서울서부,건고추,241,600G,12000,12000
20130102,서울서부,건고추,241,600G,11000,11000
20130102,서울서부,건고추,241,600G,18000,18000
20130102,서울서부,건고추,241,600G,17000,17000
20130102,서울서부,풋고추,242,100G,1200,1200
20130102,서울서부,풋고추,242,100G,1000,1000
20130102,서울서부,풋고추,242,100G,1200,1200
20130102,서울서부,풋고추,242,100G,1000,1000
20130102,서울서부,풋고추,242,100G,1200,1000
20130102,서울서부,풋고추,242,100G,1000,900
20130102,서울서부,붉은고추,243,100G,1200,1200
20130102,서울서부,붉은고추,243,100G,1000,1000
20130102,서울서부,마늘,244,1KG,7000,7000
